dmoj,dgri,dwil,dmel,dpse,dsim,dyak,dana
2,2,2,2,3,2,2,2
2,2,2,2,2,3,2,2
2,3,3,2,2,1,2,2
2,4,2,2,2,2,2,2
3,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,1,2,2,2,4,2
3,1,3,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,3
2,2,1,2,3,2,3,1
3,2,2,2,2,2,2,2
2,2,1,3,1,2,3,2
3,3,1,2,2,2,2,2
2,2,2,2,3,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
3,3,2,2,1,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,3,2,2,1,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,3,2,2,2,2,2
2,2,2,2,2,2,2,2
2,3,2,2,2,1,2,2
2,1,3,2,1,2,2,3
2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2
1,2,1,1,1,1,12,1
1,1,1,3,2,3,3,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,1,1,3,2,2,3,3
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,3,2,2
2,2,2,2,2,2,2,2
2,2,2,2,1,2,2,2
2,2,1,2,2,3,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,3,1,2,2,2,2
2,2,2,2,2,1,2,3
3,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2
2,1,1,3,1,2,3,2
2,2,2,2,3,1,2,2
2,2,2,2,2,1,3,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,1,3,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
3,2,3,2,1,2,2,1
2,2,2,1,2,2,3,2
3,2,2,2,2,2,2,2
1,3,2,2,3,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,1,2
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
1,3,1,3,1,2,3,1
1,1,1,3,1,3,3,2
2,2,2,3,2,2,1,2
2,2,1,2,3,2,2,2
2,2,4,2,2,1,2,2
2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2
2,3,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,3,2,2,2,2,2,1
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,1,1,2,3,2,2
3,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,1,2,2,2,2,2
1,1,1,3,2,3,3,2
2,2,2,2,2,2,1,2
1,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2
2,3,0,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,1
2,2,2,2,2,2,2,2
1,2,2,1,1,2,6,1
2,2,2,2,2,2,2,2
5,2,1,2,1,2,2,2
0,2,1,0,0,4,2,1
2,2,2,1,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,1,2,2,1,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
1,1,2,2,3,3,2,2
2,2,2,2,2,1,2,2
2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2
1,1,1,2,2,3,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
1,0,2,3,2,3,2,1
2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
1,2,2,2,2,2,2,2
2,1,3,2,2,1,2,2
2,2,2,2,2,2,3,1
2,2,2,1,2,2,2,2
1,2,2,1,4,2,2,2
3,3,3,0,2,1,1,2
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,1
2,2,2,2,1,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,1,2,2,2,2,2,2
3,2,2,2,2,1,2,2
2,1,3,2,2,2,2,3
3,2,2,2,1,1,1,2
2,1,2,1,2,2,2,2
1,2,1,4,1,3,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,1,3,2
2,2,2,1,2,2,2,2
2,2,2,2,2,1,2,2
2,3,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,2,2,1,2,2,2,2
2,1,2,2,2,2,2,2
2,1,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,1,2,2,2,2,2
2,2,2,2,2,1,2,2
1,1,2,2,2,1,2,5
2,2,2,2,2,1,2,2
1,2,1,2,3,0,2,2
1,1,0,3,2,3,3,1
2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2
2,2,2,1,2,1,3,2
2,2,1,2,2,2,2,2
2,2,1,2,2,2,2,2
2,2,2,1,2,2,2,2
1,2,3,2,2,2,2,2
1,3,2,2,1,1,2,3
2,2,1,2,2,2,2,2
2,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,1,2,2,2,2
1,2,2,2,2,2,2,2
2,2,2,2,2,1,2,2
2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2
3,2,2,3,1,1,2,2
2,2,2,2,2,1,2,2
2,2,1,0,1,4,2,2
