iteration,chain,μ,α,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,λ
511,1,1.7052662999123949,0.9905990368416926,-1967.6224879589904,3.0,1.0,0.943740678720339,-1967.6224879589904,1968.0533088227596,0.019606843582550937,0.08940203808333536,2.0,0.0,0.8395306309269774,0.8395306309269774,0.016031145660579615
512,1,1.6509735160888457,0.9896383589968533,-1967.678927919614,3.0,1.0,0.9601525365726205,-1967.678927919614,1967.84102042851,0.04135145873442525,0.08233241950074444,2.0,0.0,0.8395306309269774,0.8395306309269774,0.017106794879415525
513,1,1.671060530375866,0.9901578031909778,-1967.4408139291204,3.0,1.0,1.0,-1967.4408139291204,1967.7627417449648,-0.06747990268559079,-0.06747990268559079,1.0,0.0,0.8395306309269774,0.8395306309269774,0.01644690661974831
514,1,1.4554203988761798,0.989046527518812,-1969.0836850690298,3.0,1.0,0.7808222209926962,-1969.0836850690298,1969.2872453647326,0.25390093469081876,0.2544773679753689,2.0,0.0,0.8395306309269774,0.8395306309269774,0.015941907287649975
515,1,1.5456643820537452,0.9892370765651434,-1968.1411867447594,3.0,1.0,0.9846531125232468,-1968.1411867447594,1969.3199583178655,-0.12924734577563868,-0.15774217616080932,2.0,0.0,0.8395306309269774,0.8395306309269774,0.016635867400029446
516,1,1.6822493379875048,0.9892507361135906,-1968.4278859433216,3.0,1.0,0.8431039650466833,-1968.4278859433216,1969.0650403478696,0.24172264408935007,0.2956632408547648,2.0,0.0,0.8395306309269774,0.8395306309269774,0.018082942056765205
517,1,1.508278150755366,0.9903477144588059,-1968.79574395744,3.0,1.0,0.9569788182992546,-1968.79574395744,1968.9108381480703,0.13818626128045253,-0.3253177890505867,2.0,0.0,0.8395306309269774,0.8395306309269774,0.014558331386635035
518,1,1.626382850915996,0.9904160237206189,-1967.5784589520226,3.0,1.0,1.0,-1967.5784589520226,1968.6062680436069,-0.42609378168549483,-0.42609378168549483,2.0,0.0,0.8395306309269774,0.8395306309269774,0.015587214664371152
519,1,1.613040405984985,0.9907451490202105,-1968.0391911054392,3.0,1.0,0.8984473013960009,-1968.0391911054392,1968.0825936249373,0.15398680521570896,0.15398680521570896,1.0,0.0,0.8395306309269774,0.8395306309269774,0.014928448581770205
520,1,1.9309642816073844,0.9909313732142742,-1970.4989323014288,7.0,1.0,0.8128443481787706,-1970.4989323014288,1970.9354161984825,0.5050402571168888,0.5050402571168888,3.0,0.0,0.8395306309269774,0.8395306309269774,0.017511194406464585
521,1,1.9191058219402057,0.9909710799204293,-1970.2627536466023,1.0,1.0,1.0,-1970.2627536466023,1971.137543930215,-0.0953322706320705,-0.0953322706320705,1.0,0.0,0.8395306309269774,0.8395306309269774,0.017327453090536914
522,1,1.5869573897333302,0.990231800459936,-1967.691218506271,3.0,1.0,1.0,-1967.691218506271,1970.6788374432717,-0.646695093606013,-0.646695093606013,2.0,0.0,0.8395306309269774,0.8395306309269774,0.015501716444494324
523,1,1.6453421167860658,0.9890095170055511,-1968.6184962716945,7.0,1.0,0.8729122823652327,-1968.6184962716945,1968.869711311331,0.2370037622201835,0.3112820404953709,3.0,0.0,0.8395306309269774,0.8395306309269774,0.01808310455458787
524,1,1.5686989338815358,0.9894249701778791,-1967.880316466029,7.0,1.0,1.0,-1967.880316466029,1968.417586537858,-0.2997998489358906,-0.2997998489358906,3.0,0.0,0.8395306309269774,0.8395306309269774,0.01658903800772648
525,1,1.7022284908372427,0.9901261493533344,-1967.557285595698,3.0,1.0,0.9326613626893661,-1967.557285595698,1968.7263354917832,-0.044727073450076205,0.11297100243905334,1.0,0.0,0.8395306309269774,0.8395306309269774,0.01680754988502587
526,1,1.6841139541846595,0.989979056900858,-1967.5400109889868,3.0,1.0,0.991622925705017,-1967.5400109889868,1967.619390486355,-0.0019392732049254846,-0.029044365406889483,1.0,0.0,0.8395306309269774,0.8395306309269774,0.016876410107355563
